user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets,happiness_index,nlppred,exclamation_number,length,question_number,uppercase_ratio
3128883168.0,2017/11/17 5:00,[],0,0,EllA,232,198,"Sylmar, Los Angeles",1405,"Place(_api=<tweepy.api.API object at 0x0000000007DAA908>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA908>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,b'Happy birthday to one of the most gorgeous and artistic souls I know \xf0\x9f\x92\x97\xf0\x9f\x92\x97 hope you had a great day! @danirosalie16',1,-1,1,145,0,0.0137931034483
235337625.0,2017/11/17 5:00,[],0,1,PHILIP CRAWFORD,2197,2348,"Los Angeles, California",198420,None,None,b'Today was MICKEY MOUSE Birthday I say:FUCK YOU MICKEY MOUSE YOU DIDN\xe2\x80\x99T CELEBRATE MY BIRTHDAY YESTERDAY SO WHY THE F\xe2\x80\xa6 https://t.co/q1k3iDpxMN',0,-1,0,165,0,0.484848484848
3227724246.0,2017/11/17 4:57,[],0,0,prilla,266,309,"Malibu, CA",3981,None,None,b'happy birthday to the best researcher out there and an even better friend. @josealczr \xe2\x9c\x8a\xf0\x9f\x8f\xbd https://t.co/xf3Xa0Hlln',1,-1,0,141,0,0.0141843971631
4909841992.0,2017/11/17 4:56,[],0,0,STEEZY,54,71,"Los Angeles, CA",190,None,None,b'Birthday weekend day #1 starts tomorrow',1,1,0,42,0,0.0238095238095
38324996.0,2017/11/17 4:56,[],0,0,Jessi Jewel :),1958,503,"Los Angeles, CA",14664,None,None,b'Happy Birthday @Cdprincess5 https://t.co/QtVy0kwdRu',2,1,0,54,0,0.111111111111
2464048542.0,2017/11/17 4:54,[],0,0,Teres�� Haley,181,254,"Los Angeles, CA",7223,None,None,"b""It's cach\xc3\xa9's birthday. I got my midterms back today. I made history along the way. And Lani dropped another song! I\xe2\x80\xa6 https://t.co/cfdMJBIblS""",1,-1,1,161,0,0.0683229813665
354491079.0,2017/11/17 4:54,[],0,0,jordann alexandra,465,516,"Los Angeles, CA",16053,None,None,b'visiting scott at work and his coworkers made me stand up on a chair by myself and told everyone it\xe2\x80\x99s my birthday a\xe2\x80\xa6 https://t.co/hegdH1mVBl',2,1,0,165,0,0.0181818181818
8.83e+17,2017/11/17 4:54,[],4,24,Chiqui,32,4990,"Los Angeles, CA",386,None,None,b'Best birthday gift ever???? \xf0\x9f\x98\x8d https://t.co/pqXX5YznuK',2,1,0,71,4,0.0704225352113
206929763.0,2017/11/17 4:53,[],0,1,Aim��e Nash,419,3757,LA,1764,None,None,b'Happy birthday @rickbain \xf0\x9f\x8e\x82\xf0\x9f\x99\x8c https://t.co/0alh5haGTX',1,1,0,84,0,0.047619047619
21636967.0,2017/11/17 4:53,[],0,0,Gina Rodriguez,183,103921,"Encino, Los Angeles",31104,None,None,b'Just got the BEST birthday present....No Prep No Drill Veneers from draamirwahab and I LOVE\xe2\x80\xa6 https://t.co/rwi12DFekC',2,1,0,130,0,0.138461538462
2864207482.0,2017/11/17 4:53,[],0,0,almond brown,236,366,"Los Angeles, CA",9107,None,None,b'@HyphyLyyfe happy birthday pretty\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',2,-1,0,108,0,0.0185185185185
1871431807.0,2017/11/17 4:51,[],1,1,Dorian Gerald,910,3611,"Los Angeles, CA",4584,None,None,"b'My boy better had got treated like a KING today, rose petals need to be thrown at his feet, Happy Birthday brudda @SuperStarRayy \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbe'",2,1,0,164,0,0.0609756097561
3004360045.0,2017/11/17 4:51,[],0,1,Alijah Lee,468,791,"Venice, California",15864,None,None,b'@Scoot23_ happy birthday brodie!!',1,-1,2,36,0,0.0277777777778
1471407032.0,2017/11/17 4:51,[],0,0,WHIZ WARD,2880,1238,"Los Angeles, CA",39177,None,None,b'@IAMSU Happy Birthday Mayne!',1,-1,1,31,0,0.258064516129
7.4e+17,2017/11/17 4:50,[],0,0,Kellin,54,252,"Calabasas, CA",16524,None,None,"b""@harleyslilbook That's shitty thinking of them.. wth it's your birthday you shouldn't need to do a thing. You do yo\xe2\x80\xa6 https://t.co/k24HJRHva3""",1,-1,0,154,0,0.038961038961
128647342.0,2017/11/17 4:49,['KJLH'],1,0,RadioFree 102.3 KJLH,5640,15598,"Inglewood, CA",54719,None,None,b'Happy Birthday Beautiful Queen!! #KJLH https://t.co/9MKO2BNe73',2,-1,2,65,0,0.2
17451655.0,2017/11/17 4:49,[],1,2,DJ E-Rock,3501,24178,"Los Angeles, CA",79755,"Place(_api=<tweepy.api.API object at 0x0000000007DAA908>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA908>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,b'Happy Birthday to my big brother @E40!',1,1,1,41,0,0.0731707317073
457214594.0,2017/11/17 4:49,[],0,0,Cindy Juarez,250,391,"Los Angeles,CA.",24169,None,None,b'Happy 18th Birthday to my oldest nephew!\xf0\x9f\x8e\x88I\xe2\x80\x99m only 4 years older than\xe2\x80\xa6 https://t.co/vxYfcaOAG4',1,-1,1,133,0,0.0526315789474
8.29e+17,2017/11/17 4:48,[],0,1,Jaxkie,1951,1710,"Los Angeles, CA",1908,None,None,b'@guellval When\xe2\x80\x99s your birthday?',0,-1,0,45,1,0.0222222222222
608558073.0,2017/11/17 4:47,[],0,0,Kristin,123,86,Los Angeles,1842,None,None,"b'""fuck, my birthday\'s soon; I\'m pissed""\npoor nils'",-1,-1,0,54,0,0.0185185185185
4482080364.0,2017/11/17 4:47,[],0,0,valerie,45,20,"Los Angeles, CA",64,None,None,b'happy birthday @wolfiecindy  &lt;333',0,1,0,39,0,0.0
2540206831.0,2017/11/17 4:46,[],0,0,Genesis Kristina,435,608,"Los Angeles, CA",71,None,None,"b'@ToveLo released her album on birthday and she\xe2\x80\x99s fire, how amazing. \xf0\x9f\x8c\xb9'",1,1,0,98,0,0.0204081632653
75911754.0,2017/11/17 4:45,[],0,1,INNOVATIVE BLACKMAN,776,1265,"Makkah Al Mukarrama, Kingdom o",96534,"Place(_api=<tweepy.api.API object at 0x0000000007DAA908>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA908>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,b'Finna roll mad backwoods and drink remy it\xe2\x80\x99s my nigga Fats birthday at 12. RIP to a young boss',0,1,0,108,0,0.0462962962963
14826700.0,2017/11/17 4:44,[],0,0,b. williams,292,2461,"los angeles, ca",7418,None,None,"b""@mrLdavis wow, tell them I said thank you for putting the carnival up for my birthday week! I'll try to make an app\xe2\x80\xa6 https://t.co/uyWSXjrFSK""",2,-1,1,154,0,0.0584415584416
357988651.0,2017/11/17 4:44,[],0,1,Patty,126,109,Los angeles,1333,None,None,b'Happy birthday to my favorite ridah @aydriannuh_bee \xe2\x99\xa5\xef\xb8\x8f love you Cabrona. *only your real friends post the real you\xe2\x80\xa6 https://t.co/dgPerzIlzr',2,-1,0,175,0,0.0228571428571
269113505.0,2017/11/17 4:44,"['bummedthatCoreycouldntmakeit', 'fig']",0,0,mariti guintu-sunga,294,5291,"Los Angeles, CA",27480,None,None,"b'Happy birthday, Franco!!!! #bummedthatCoreycouldntmakeit #fig&amp;olive https://t.co/UOhCKLNZ4v'",2,-1,4,98,0,0.102040816327
142549136.0,2017/11/17 4:43,"['Yelp', 'Yelfie']",0,0,Shawn Marie,21,15,"Firestone Park, CA",118,None,None,"b""I'm now the Duchess of The Crab Shack! #Yelp #Yelfie\nCelebrating Babe Birthday https://t.co/V1wnjV2kiL https://t.co/08TbhthOT7""",2,-1,1,130,0,0.123076923077
979910624.0,2017/11/17 4:40,[],0,1,jazmin,268,187,"Los Angeles, CA",808,None,None,b'happy birthday queen!! \xf0\x9f\x92\x97\xf0\x9f\x92\x9e\xf0\x9f\x92\x98 https://t.co/CKz75QdrdR',2,-1,2,98,0,0.0408163265306
2413730592.0,2017/11/17 4:39,[],1,1,Kat,214,320,LA,5945,None,None,"b'@josuearias09 HAPPY FUCKING BIRTHDAY YOU LOSER! Hope you have a good one, love you \xf0\x9f\x98\x8b'",2,-1,1,102,0,0.28431372549
1075550688.0,2017/11/17 4:37,[],0,0,kylecuellar,388,1256,"Westwood, Los Angeles",335,"Place(_api=<tweepy.api.API object at 0x0000000007DAA908>, id='59612bd882018c51', url='https://api.twitter.com/1.1/geo/id/59612bd882018c51.json', place_type='city', name='Santa Monica', full_name='Santa Monica, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA908>, type='Polygon', coordinates=[[[-118.5173575, 33.9951771], [-118.443482, 33.9951771], [-118.443482, 34.050199], [-118.5173575, 34.050199]]]), attributes={})","{'type': 'Point', 'coordinates': [34.01252, -118.49561]}",b'happy happy birthday to this girl right here...I know dating another athlete can be a bit crazy\xe2\x80\xa6 https://t.co/dRq7Y9ip1W',1,-1,0,134,0,0.0298507462687
9.01e+17,2017/11/17 4:36,[],0,1,Irene Lau,312,51,"Santa Monica, CA",190,None,None,b'@jayharrington3 Hopefully your birthday was awesome yesterday dear! \xf0\x9f\x92\x8b\xf0\x9f\x92\x9e\xf0\x9f\x98\x98\xf0\x9f\x98\x8d',2,-1,1,135,0,0.00740740740741
730478143.0,2017/11/17 4:36,[],1,1,Just Like Natalia,109,304,Los Angeles,15853,None,None,b'@harryskiwiis btw Happy Birthday \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x98\xbd\xf0\x9f\x98\xbd\xf0\x9f\x98\xbd',1,-1,0,132,0,0.0151515151515
41903927.0,2017/11/17 4:36,[],0,0,Breezii,652,798,LA,94478,None,None,b'My best friend out here telling me I\xe2\x80\x99m that my birthday girl is \xe2\x80\x9callegedly\xe2\x80\x9d custom &amp; wont give me no hints',1,1,0,146,0,0.013698630137
130933957.0,2017/11/17 4:35,[],0,0,Sirius Rooney,632,177,"Los Angeles, CA",870,None,None,b'@BeyondTheSummit @DakotaCox Happy Birthday Dakota!!!',2,-1,3,55,0,0.145454545455
3031508116.0,2017/11/17 4:35,[],0,0,Connie,123,42,,1682,"Place(_api=<tweepy.api.API object at 0x0000000007DAA908>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA908>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,b'Happy birthday to my best Cat friend\xf0\x9f\x92\x9c\xf0\x9f\x98\x98 https://t.co/er5doc5pQ5',2,-1,0,95,0,0.0315789473684
41630638.0,2017/11/17 4:33,[],0,0,Melissa Peterman,2948,153985,"Los Angeles, CA",28072,None,None,b'@jBOMb55 Happy Birthday Terrie!!!! Hope you are full of cake and laughter right now!!',2,1,6,88,0,0.0795454545455
8.09e+17,2017/11/17 4:33,[],0,0,Poyu,143,3,"Los Angeles, CA",2,None,None,b'Happy Birthday Gabby !! I love you \xf0\x9f\x92\x93',2,1,2,54,0,0.0740740740741
